,key,municipality,state,2011,2012,2013,2014,2015,2016,2017,2018,2019,pop2015,pop2016,pop2017,pop2018,pop2019,pop2010,homrate2011,homrate2012,homrate2013,homrate2014,homrate2015,homrate2016,homrate2017,homrate2018,homrate2019,region
0,1001,Aguascalientes,Aguascalientes,57,33,20,30,26,27,50,54,61,894812,910036,923323,936373,949277,797010,7.1517295893401585,4.1404750254074605,2.5093788032772486,3.7640682049158727,2.9056382793257134,2.966915594547908,5.415223058453,5.766932621935917,6.425943112495088,West
1,1002,Asientos,Aguascalientes,2,2,5,0,2,0,4,3,4,48259,48854,49352,49851,50354,45492,4.396377385034731,4.396377385034731,10.990943462586829,0.0,4.144304689280756,0.0,8.105041335710812,6.017933441656135,7.943758192000636,West
2,1003,Calvillo,Aguascalientes,2,0,0,3,0,3,5,5,3,58248,58750,59182,59659,60181,54136,3.6943992906753365,0.0,0.0,5.5415989360130045,0.0,5.106382978723404,8.448514751106755,8.3809651519469,4.984962031205863,West
3,1004,Cosío,Aguascalientes,0,1,0,0,1,0,3,0,0,16140,16322,16466,16615,16766,15042,0.0,6.648052120728627,0.0,0.0,6.195786864931847,0.0,18.219361107737154,0.0,0.0,West
4,1005,Jesús María,Aguascalientes,7,3,7,6,4,2,11,7,8,116550,119786,122630,125318,127835,99590,7.028818154433176,3.0123506376142184,7.028818154433176,6.024701275228437,3.432003432003432,1.6696441988212314,8.970072576041751,5.5857897508737775,6.25806703954316,West
5,1006,Pabellón de Arteaga,Aguascalientes,4,1,1,0,2,1,2,2,1,47056,47756,48346,48919,49479,41862,9.555205198031627,2.388801299507907,2.388801299507907,0.0,4.250255015300918,2.0939777200770586,4.136846895296405,4.088391013716552,2.0210594393581114,West
6,1007,Rincón de Romos,Aguascalientes,0,1,2,1,2,3,2,2,4,54701,55465,56105,56738,57359,49156,0.0,2.034339653348523,4.068679306697046,2.034339653348523,3.656240288111735,5.408816370684216,3.564744675162641,3.5249744439352817,6.973622273749542,West
7,1008,San José de Gracia,Aguascalientes,0,0,0,0,0,0,0,0,0,9121,9243,9341,9446,9551,8443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West
8,1009,Tepezalá,Aguascalientes,1,1,0,0,0,0,2,1,1,21339,21650,21924,22194,22468,19668,5.08440105755542,5.08440105755542,0.0,0.0,0.0,0.0,9.122422915526364,4.505722267279445,4.450774434751647,West
9,1010,El Llano,Aguascalientes,0,0,1,1,0,1,2,1,1,20696,20985,21228,21470,21710,18828,0.0,0.0,5.311238580837051,5.311238580837051,0.0,4.765308553728854,9.42151874882231,4.657661853749418,4.606172270842929,West
10,1011,San Francisco de los Romo,Aguascalientes,1,2,4,1,1,2,1,0,8,44903,46474,47885,49211,50441,35769,2.795716961614806,5.591433923229612,11.182867846459224,2.795716961614806,2.2270226933612456,4.303481516546887,2.0883366398663465,0.0,15.860113796316488,West
11,2001,Ensenada,Baja California,47,54,48,50,39,58,155,227,248,494282,501156,510093,518900,527584,466814,10.068249881108963,11.567776459146469,10.28246796368575,10.710904128839323,7.890232701170587,11.573242662963228,30.386615773986314,43.74638658701098,47.00673257718203,Northwest
12,2002,Mexicali,Baja California,139,155,151,134,104,112,151,145,134,1002808,1016212,1034059,1051870,1069676,936826,14.837333720456094,16.545228249429456,16.118254617186118,14.303616680151919,10.37087857296711,11.021322322507508,14.602648398205517,13.784973428275356,12.527157756180376,Northwest
13,2003,Tecate,Baja California,29,19,34,23,22,55,57,80,78,105428,106808,108624,110402,112147,101079,28.690430257521342,18.797178444582947,33.637056163990536,22.754479169758305,20.867321774101754,51.494270092127934,52.47459125055236,72.4624553903009,69.55157070630511,Northwest
14,2004,Tijuana,Baja California,418,332,492,462,608,865,1613,2242,2000,1657305,1679399,1708186,1736099,1763197,1559683,26.80031775687752,21.28637678297449,31.544871618142917,29.621403836548836,36.68606563064735,51.506521082839754,94.42765600467396,129.14010088134373,113.43032003797647,Northwest
15,2005,Playas de Rosarito,Baja California,40,30,50,45,48,78,108,102,143,97971,99760,101910,103971,105957,90668,44.11699827943706,33.0877487095778,55.14624784929633,49.6316230643667,48.99409008788315,78.18765036086607,105.97586105387107,98.10427907781978,134.96040846758592,Northwest
16,3001,Comondú,Baja California Sur,0,3,2,1,1,14,16,11,5,76982,77971,79083,80297,81620,70816,0.0,4.236330772706733,2.824220515137822,1.412110257568911,1.2990049621989557,17.95539367200626,20.231908248296094,13.699141935564219,6.125949522175937,Northwest
17,3002,Mulegé,Baja California Sur,0,5,9,4,4,6,11,15,6,63793,64487,65237,66024,66852,59114,0.0,8.458233244239944,15.224819839631898,6.766586595391955,6.270280438292603,9.304200846682276,16.86159694651808,22.719011268629586,8.975049362771495,Northwest
18,3003,La Paz,Baja California Sur,0,13,24,49,112,126,212,71,31,277273,281907,286751,291685,296751,251871,0.0,5.161372289783262,9.528687304215254,19.454403246106143,40.39340289173486,44.695591099192285,73.93173868617721,24.34132711658124,10.446468588142922,Northwest
19,3008,Los Cabos,Baja California Sur,0,10,20,14,33,68,363,62,39,282784,293085,303120,312678,321758,238487,0.0,4.1931006721540385,8.386201344308077,5.8703409410156535,11.669684281996153,23.20146032720883,119.75455265241489,19.828705569307722,12.120910746585944,Northwest
20,3009,Loreto,Baja California Sur,0,3,1,2,1,2,8,3,0,19014,19545,20079,20610,21138,16738,0.0,17.92328832596487,5.97442944198829,11.94885888397658,5.259282633848743,10.232796111537477,39.842621644504206,14.556040756914118,0.0,Northwest
21,4001,Calkiní,Campeche,2,1,1,1,1,1,3,0,2,58559,59477,60426,61376,62335,52890,3.781433163168841,1.8907165815844205,1.8907165815844205,1.8907165815844205,1.707679434416571,1.6813221917716092,4.964750273061265,0.0,3.2084703617550336,Southeast
22,4002,Campeche,Campeche,10,11,11,9,9,16,9,17,10,290268,295650,301162,306615,312045,259005,3.860929325688693,4.247022258257562,4.247022258257562,3.4748363931198236,3.1005829095870023,5.411804498562489,2.988424834474469,5.544412373823851,3.2046659936868083,Southeast
23,4003,Carmen,Campeche,26,21,25,28,20,36,21,15,32,250153,255333,260564,265668,270642,221094,11.759704017295812,9.498222475508156,11.30740770893828,12.664296634010874,7.995106994519355,14.099235116494931,8.059440291060929,5.646144812322146,11.823737631261961,Southeast
24,4004,Champotón,Campeche,8,9,6,8,2,10,8,5,4,91469,93095,94790,96499,98215,83021,9.636116163380349,10.840630683802893,7.227087122535262,9.636116163380349,2.1865331423761054,10.741715451957678,8.439708830045364,5.1814008435320575,4.072697653107977,Southeast
25,4005,Hecelchakán,Campeche,1,1,1,1,0,1,1,0,0,31944,32487,33042,33596,34140,28306,3.532819896841659,3.532819896841659,3.532819896841659,3.532819896841659,0.0,3.0781543386585404,3.0264511833424126,0.0,0.0,Southeast
26,4006,Hopelchén,Campeche,0,3,0,1,0,1,0,0,0,40629,41267,41941,42630,43334,37777,0.0,7.941339968764063,0.0,2.647113322921354,0.0,2.4232437540892238,0.0,0.0,0.0,Southeast
27,4007,Palizada,Campeche,0,0,0,0,1,0,0,2,1,9310,9405,9514,9625,9743,8352,0.0,0.0,0.0,0.0,10.741138560687432,0.0,0.0,20.77922077922078,10.263779123473263,Southeast
28,4008,Tenabo,Campeche,0,1,1,0,0,0,0,0,1,10942,11137,11339,11538,11734,9736,0.0,10.271158586688578,10.271158586688578,0.0,0.0,0.0,0.0,0.0,8.522243054371911,Southeast
29,4009,Escárcega,Campeche,5,8,10,5,6,6,11,9,11,59358,60137,60955,61783,62633,54184,9.227816329543778,14.764506127270042,18.455632659087556,9.227816329543778,10.108157282927323,9.977218684004857,18.0460995816586,14.567113931016623,17.56262673031788,Southeast
30,4010,Calakmul,Campeche,3,2,2,2,4,3,3,5,1,29283,29785,30287,30784,31260,26882,11.159883937207052,7.439922624804702,7.439922624804702,7.439922624804702,13.659802615852202,10.072183985227463,9.905239871892231,16.242203742203742,3.198976327575176,Southeast
31,4011,Candelaria,Campeche,4,11,10,10,6,7,10,16,11,44917,45663,46438,47205,47965,41194,9.710151963878236,26.70291790066515,24.275379909695587,24.275379909695587,13.357971369414697,15.329698004949304,21.534088462035403,33.89471454295096,22.933388929427707,Southeast
32,5001,Abasolo,Coahuila,0,0,2,1,0,0,0,0,0,1090,1091,1097,1106,1115,1070,0.0,0.0,186.9158878504673,93.45794392523365,0.0,0.0,0.0,0.0,0.0,Northeast
33,5002,Acuña,Coahuila,8,16,13,20,11,12,5,7,7,154218,156147,158072,159871,161560,136755,5.849877518189463,11.699755036378926,9.506050967057877,14.624693795473657,7.132760118792877,7.685065995504237,3.1631155422845287,4.37853018996566,4.332755632582322,Northeast
34,5003,Allende,Coahuila,2,5,8,0,2,1,2,0,0,23613,23795,24010,24231,24462,22675,8.820286659316427,22.05071664829107,35.28114663726571,0.0,8.469910642442722,4.202563563773902,8.329862557267806,0.0,0.0,Northeast
35,5004,Arteaga,Coahuila,2,1,7,2,0,0,4,2,4,23872,24171,24493,24819,25145,22544,8.87154009936125,4.435770049680625,31.05039034776437,8.87154009936125,0.0,0.0,16.33119666843588,8.058342398968533,15.90773513620998,Northeast
36,5005,Candela,Coahuila,0,0,0,0,1,0,0,0,0,1848,1860,1879,1900,1921,1808,0.0,0.0,0.0,0.0,54.112554112554115,0.0,0.0,0.0,0.0,Northeast
